id,date,description,likes_qty,comments_qty,shared_qty,saved_qty,profile_visits,reach_qty,not_following_percentage,impression_profile,impression_home,impression_hashtags,impression_other,new_followers
1,2020-12-25,"These were my first mistakes as a programmer. What were yours? 🤔
-
My first project was a building specific queries for a CSV file in C.
It wasn't a big thing, but memory allocation and pointers are always a headache.
The final result was a disaster but I learnt a lot from it.
I learnt that I should plan and test everything! It will not only become more solid but also you will code better if you see the big picture clearly.",35,5,0,7,16,198,0.71,184,20,17,11,2
2,2020-12-26,"These are my tips for peer programming. Have you ever done it?

-
🇺🇸🇬🇧
Peer programming is an agile practice where two developers work in only one computer.

It is very useful for making more coherent code and less buggy in the mid-long run.

It also works great when you want to teach a novice how to work by pairing it with an expert.

In this case, the expert would take the navigator role more often.

You can also mix it up with TDD (Test Driven Development) by using the Ping-Pong approach. You may also find it as the Ping-Pong Refactor.

-
🇪🇸🇦🇷
La programación en pareja es una práctica típica de metodologías ágiles en la que dos desarrolladores trabajan en una misma computadora.

Es muy útil para hacer código coherente y con menos fallas en el mediano y largo plazo.

También sirve cuando se quiere enseñar a un novato al emparejarlo con un experto.

En este caso el experto va a tomar el rol de navegador mas seguido.

También se lo puede mezclar con TDD (Desarrollo guiado por pruebas) al usar el método de Ping Pong. Tambien conocido como el método Ping Pong Refactor.",33,3,2,3,5,171,0.64,138,40,19,4,1
3,2020-12-27,"I was getting questions about who I am, so I decided to post this one as an answer to all of you.

-

🇺🇸🇬🇧
I had enrolled for Software Engineering without coding before. But I was really interested in it, so I took the leap of faith. Luckily, it was the right decision.

I learnt from 0 at the university everything to the point where I can comfortably say ""I know how to code"".

In the last month, I began to see a lot of programming accounts and, after some research, I decided to do one for myself. I am eager to see where all this will lead me to.

If you like my content please give a like and follow me. It really helps me a lot!

-

🇦🇷🇪🇸
Me anoté en la carrera de Ingeniería Informática sin haber programado antes. Pero me interesaba mucho asi que me mandé. Por suerte, fue la decisión correcta.

Aprendí desde 0 en la universidad todo hasta el punto donde puedo decir cómodamente ""Sé programar"".

El último mes, empecé a ver muchas cuentas sobre programación y decidí hacer una propia. Estoy muy ansioso de ver donde me llevará todo esto.

Si te gusta mi contenido por favor deja el Me Gusta y seguime. En serio ayuda un montón!
",36,9,0,2,10,158,0.62,94,53,42,2,1
4,2020-12-28,"Tap the save button to be ready the next time you work with HTTP Status Codes!

How many of them did you know?

🇦🇷🇪🇸
Apretá el botón de guardar para estar listo la próxima vez que trabajes con códigos de estado de HTTP!

Cuántos de ellos conocías?",24,6,5,3,3,135,0.52,62,59,37,6,0
5,2020-12-29,"Hey, this time I want to show you a little thing I made. A resizable table in Java. What was your last project about? What did you learnt from it?

-
🇺🇸🇬🇧
For the data I used some old code about my university weekly schedules. It is the first time I try to do some frontend to this. The objective was to learn something about Java Swing. Mission accomplished 😅

-
🇦🇷🇪🇸
Para los datos usé un código viejo sobre horarios de la universidad. Es la primera vez que intento hacer frontend a esto. El objetivo era aprender algo de Java Swing. Misión cumplida 😅",32,8,0,5,5,200,0.66,58,68,97,1,3
8,2021-01-01,"Every professional project needs an estimation. But 47% of them don't finish on time. How can you improve estimating time?

-
🇺🇸🇬🇧
Estimating projects can be a crucial part.

Overestimated projects might not be done, while underestimating projects can cause a lot of stress between team members.

We often fall in the called planning fallacy.

The planning fallacy is the tendecy to underestimate the times to complete a task.

Here I give you some methods to avoid the planning fallacy.

-
🇦🇷🇪🇸
La estimación de proyectos puede ser una parte crucial.

Proyectos sobreestimados pueden nunca realizarse, mientras que proyectos subestimados pueden causar mucho estrés entre miembros del equipo.

Muchas veces caemos en la llamada falacia de la planificación.

La falacia de la planificación es la tendencia a subestimar los tiempos para completar una tarea.

Acá te dejo alguno métodos para evitar la falacia de planificación.",25,3,1,6,5,129,0.37,38,83,34,4,1
21,2021-01-21,"Today I want to try to give something that is more entretaining. A challenge to learn a bit more deeply about how C works. If this post succeeds there will be more posts like this and even in different languages. So if you like this make sure to let me know 😄

-

🇺🇸🇬🇧

Like all languages, C have its own conventions to certain things

In this challenge, you will encounter with operators, and how they work

Precedence, lazy operators and ""booleans"" are the key for solving this challenge

In a future post I will explain the solution to this challenge in depth

Comment what you think the answer is!

-

🇦🇷🇪🇸

Como todos los lenguajes, C tiene sus propias convenciones para ciertas cosas

En este desafío, te vas a encontrar con operadores y cómo funcionan

Precedencias, operaciones ""lazy"", y ""booleanos"" son la clave para resolver este desafío

En un futuro voy a explicar en una publicación la solución con profundidad

Comentá cuál creés que es la respuesta",27,11,1,3,5,149,0.32,28,123,32,5,0
22,2021-01-22,"Nobody is born knowing. Learning is a crucial part of life and growing. I am sharing with you my best tips about learning for you to learn programming better (or anything else).

-

🇺🇸🇬🇧

Learning is a long process and there are people to struggle with it (like me 😬)

Throughout my life I researched ways to learn better

Some tips in this posts can be found online

While others I took them from what friends, classmates and teachers recommended me

I hope you find this useful!

-

🇦🇷🇪🇸

Aprender es un proceso largo y a muchas personas les suele costar (como a mi 😬)

A lo largo de mi vida investigué maneras para aprender mejor

Algunos consejos en esta publicación se pueden encontrar en Internet

Otras cosas las saqué de amigos, compañeros y profesores que me las recomendaron

Espero que te sirva!
",41,2,0,6,7,164,0.28,27,128,34,1,0
51,2021-03-07,"Let's continue with the data structures series! Today I will give you a summary about graphs

-

🇺🇸🇬🇧

Graphs are very interesting and have lots of properties

In university, I had a whole subject about graphs and different algorithms we can use

I think the most clear example to where you can use a graph is in a map application, like Google Maps

Edges can have direction and weight too

I hope you can understand how to use graphs!

-

🇦🇷🇪🇸

Los grafos son muy interesantes y tienen muchas propiedades

En la universidad, tuve toda una materia dedicada a grafos y distintos algoritmos que se pueden usar

Creo que el ejemplo mas claro de donde se pueden usar grafos es en una aplicación de mapas, como Google Maps

Las aristas pueden tener sentido y peso también

Espero que entiendas como usar grafos!
",27,2,0,10,3,259,0.43,38,172,87,4,1
10,2021-01-03,"Let's have a little conversation about starting to learn programming. Have you started already?

-

🇺🇸🇬🇧

I have found that a lot of people are saying that you should start programming when you are still a kid

I want to be a mythbuster this time and declare this myth false

If you want to learn programming, now is your time

You can learn everything online for free

Take advantage of it!

The later you start, less time you have!

-

🇦🇷🇪🇸

Encontré que mucha gente anda diciendo que deberías empezar a programar cuando sos chico

Quiero disfrazarme de cazador de mitos un rato y declarar este mito como falso

Si querés empezar a aprender programación, ahora es tu momento

Podés aprender todo online gratis

Aprovechalo!

Mientras más tarde arranques, menos tiempo tenés",34,16,0,5,8,150,0.44,41,86,48,2,0
